Year,LandUse,Area,State
2011,Crops,9209,NSW
2012,Crops,9228,NSW
2013,Crops,9099,NSW
2011,Farms,58326,NSW
2012,Farms,60576,NSW
2013,Farms,58848,NSW
2011,NonAgriculturalLand,21738,NSW
2012,NonAgriculturalLand,19488,NSW
2013,NonAgriculturalLand,21216,NSW
2011,Crops,4489,VIC
2012,Crops,4450,VIC
2013,Crops,4473,VIC
2011,Farms,12626,VIC
2012,Farms,12698,VIC
2013,Farms,12146,VIC
2011,NonAgriculturalLand,10116,VIC
2012,NonAgriculturalLand,10044,VIC
2013,NonAgriculturalLand,10596,VIC
2011,Crops,3466,QLD
2012,Crops,3243,QLD
2013,Crops,3270,QLD
2011,Farms,139835,QLD
2012,Farms,137239,QLD
2013,Farms,129548,QLD
2011,NonAgriculturalLand,33230,QLD
2012,NonAgriculturalLand,35826,QLD
2013,NonAgriculturalLand,43517,QLD
2011,Crops,5036,SA
2012,Crops,5024,SA
2013,Crops,4980,SA
2011,Farms,52786,SA
2012,Farms,49705,SA
2013,Farms,49431,SA
2011,NonAgriculturalLand,45562,SA
2012,NonAgriculturalLand,48643,SA
2013,NonAgriculturalLand,48917,SA
2011,Crops,9707,WA
2012,Crops,9895,WA
2013,Crops,9648,WA
2011,Farms,88715,WA
2012,Farms,88438,WA
2013,Farms,90494,WA
2011,NonAgriculturalLand,164273,WA
2012,NonAgriculturalLand,164550,WA
2013,NonAgriculturalLand,162494,WA
2011,Crops,133,TAS
2012,Crops,128,TAS
2013,Crops,118,TAS
2011,Farms,1655,TAS
2012,Farms,1666,TAS
2013,Farms,1612,TAS
2011,NonAgriculturalLand,5185,TAS
2012,NonAgriculturalLand,5174,TAS
2013,NonAgriculturalLand,5228,TAS
2011,Crops,37,NT
2012,Crops,24,NT
2013,Crops,22,NT
2011,Farms,55671,NT
2012,Farms,55115,NT
2013,Farms,54496,NT
2011,NonAgriculturalLand,79242,NT
2012,NonAgriculturalLand,79798,NT
2013,NonAgriculturalLand,80417,NT
2011,Crops,2,ACT
2012,Crops,1,ACT
2013,Crops,1,ACT
2011,Farms,58,ACT
2012,Farms,37,ACT
2013,Farms,39,ACT
2011,NonAgriculturalLand,178,ACT
2012,NonAgriculturalLand,199,ACT
2013,NonAgriculturalLand,197,ACT
